id;lg;style;value;parent;source;target
1;turn-key Fish deliver;Ergonomic;Direct Netherlands;Rustic Polarised;Handcrafted orchid;middleware Wooden
2;standardization Coordinator dot-com;Towels Unbranded;Tools Keyboard;Chief;Officer bandwidth withdrawal;transmit
3;Baht Health Kina;Keyboard;seize PNG Washington;payment Grass-roots;Avon Licensed;Russian experiences Rufiyaa
4;Customizable;Taiwan Krona;Interactions;vertical Ergonomic;protocol;indigo hub bypassing
5;Hampshire Toys;e-business action-items customer;Consultant payment users;generate generate facilitate;Loan high-level Intranet;recontextualize transparent Practical
6;sensor Barbuda;JBOD;Assistant Buckinghamshire;Pizza HDD;Myanmar;envisioneer 1080p
7;AI Avon;Pants;quantify Concrete quantify;Account;override;Account out-of-the-box Agent
8;Fresh;Shirt Minnesota withdrawal;orange;groupware innovate Wooden;Handmade;Jamahiriya Fantastic Armenia
9;drive integrate Tuvalu;application exploit Berkshire;directional Future;parsing Frozen Investment;Bedfordshire Open-architected;compelling
10;Human;Keyboard;Shoes generate invoice;Island;Nevada;Health Assurance
